matrix_name,num_threads,csr_m,csr_n,csr_nnz,time,gflops,csr_mem_footprint,format_name,prefer_fsc,size_cutoff,col_threshold,SpMV Base,SpMV DDT Parallel Executor,SpMV DDT Parallel gflops,SPMV Analysis
/home/users/dgal/Data/graphs/tamu/matrices/ts-palko/ts-palko.mtx,16,22002,47235,1076903,9.87e-05,21.8217,1.30108e+07,LCM,0,4,8,0.00129094,9.87e-05,21.8217,0.0625967
/home/users/dgal/Data/graphs/tamu/matrices/neos/neos.mtx,16,479119,515905,1526794,0.00087208,3.5015,2.0238e+07,LCM,0,4,8,0.00203736,0.00087208,3.5015,0.0965127
/home/users/dgal/Data/graphs/tamu/matrices/stat96v3/stat96v3.mtx,16,33841,1113780,3317736,0.000350993,18.9049,3.99482e+07,LCM,0,4,8,0.00446861,0.000350993,18.9049,0.0762022
/home/users/dgal/Data/graphs/tamu/matrices/stormG2_1000/stormG2_1000.mtx,16,528185,1377306,3459881,0.0014595,4.74119,4.36313e+07,LCM,0,4,8,0.00331757,0.0014595,4.74119,0.119447
/home/users/dgal/Data/graphs/tamu/matrices/xenon2/xenon2.mtx,16,157464,157464,3866688,0.00039836,19.413,4.70301e+07,LCM,0,4,8,0.00322071,0.00039836,19.413,0.0858119
/home/users/dgal/Data/graphs/tamu/matrices/s3dkq4m2/s3dkq4m2.mtx,16,90449,90449,4820891,0.000275016,35.059,5.82125e+07,LCM,0,4,8,0.00453445,0.000275016,35.059,0.087145
/home/users/dgal/Data/graphs/tamu/matrices/apache2/apache2.mtx,16,715176,715176,4817870,0.000485217,19.8586,6.06751e+07,LCM,0,4,8,0.00445339,0.000485217,19.8586,0.105357
/home/users/dgal/Data/graphs/tamu/matrices/Si34H36/Si34H36.mtx,16,97569,97569,5156379,0.00134157,7.68711,6.22668e+07,LCM,0,4,8,0.0051686,0.00134157,7.68711,0.146988
/home/users/dgal/Data/graphs/tamu/matrices/ecology2/ecology2.mtx,16,999999,999999,4995991,0.00251584,3.97163,6.39519e+07,LCM,0,4,8,0.0047392,0.00251584,3.97163,0.179713
/home/users/dgal/Data/graphs/tamu/matrices/LargeRegFile/LargeRegFile.mtx,16,2111154,801374,4944201,0.00487362,2.02896,6.7775e+07,LCM,0,4,8,0.00552894,0.00487362,2.02896,0.295134
/home/users/dgal/Data/graphs/tamu/matrices/largebasis/largebasis.mtx,16,440020,440020,5560100,0.0030712,3.6208,6.84813e+07,LCM,0,4,8,0.00487118,0.0030712,3.6208,0.169662
/home/users/dgal/Data/graphs/tamu/matrices/Goodwin_127/Goodwin_127.mtx,16,178437,178437,5778545,0.000925036,12.4937,7.00563e+07,LCM,0,4,8,0.0055212,0.000925036,12.4937,0.143701
/home/users/dgal/Data/graphs/tamu/matrices/Hamrle3/Hamrle3.mtx,16,1447360,1447360,5514242,0.00417988,2.63847,7.19603e+07,LCM,0,4,8,0.00602468,0.00417988,2.63847,0.240425
/home/users/dgal/Data/graphs/tamu/matrices/boneS01/boneS01.mtx,16,127224,127224,6715152,0.000721881,18.6046,8.10907e+07,LCM,0,4,8,0.0064012,0.000721881,18.6046,0.134489
/home/users/dgal/Data/graphs/tamu/matrices/sls/sls.mtx,16,1748122,62729,6804304,0.00431444,3.1542,8.86441e+07,LCM,0,4,8,0.00676882,0.00431444,3.1542,0.306997
/home/users/dgal/Data/graphs/tamu/matrices/cont1_l/cont1_l.mtx,16,1918399,1921596,7031999,0.00498814,2.81949,9.20576e+07,LCM,0,4,8,0.00708527,0.00498814,2.81949,0.313194
/home/users/dgal/Data/graphs/tamu/matrices/CO/CO.mtx,16,221119,221119,7666057,0.00195932,7.82524,9.28772e+07,LCM,0,4,8,0.00728987,0.00195932,7.82524,0.236653
/home/users/dgal/Data/graphs/tamu/matrices/G3_circuit/G3_circuit.mtx,16,1585478,1585478,7660826,0.00722607,2.12033,9.82718e+07,LCM,0,4,8,0.00865387,0.00722607,2.12033,0.286433
/home/users/dgal/Data/graphs/tamu/matrices/degme/degme.mtx,16,185501,659415,8127528,0.00160366,10.1362,9.82723e+07,LCM,0,4,8,0.00852806,0.00160366,10.1362,0.312417
/home/users/dgal/Data/graphs/tamu/matrices/atmosmodl/atmosmodl.mtx,16,1489752,1489752,10319760,0.00154479,13.3607,1.29796e+08,LCM,0,4,8,0.0103893,0.00154479,13.3607,0.226444
/home/users/dgal/Data/graphs/tamu/matrices/SiO2/SiO2.mtx,16,155331,155331,11283503,0.00247365,9.12294,1.36023e+08,LCM,0,4,8,0.0124947,0.00247365,9.12294,0.273174
/home/users/dgal/Data/graphs/tamu/matrices/tp-6/tp-6.mtx,16,142752,1014301,11537419,0.0130988,1.7616,1.3902e+08,LCM,0,4,8,0.0136332,0.0130988,1.7616,0.467702
