matrix_name,num_threads,csr_m,csr_n,csr_nnz,time,gflops,csr_mem_footprint,W_avg,J_estimated,format_name,m,n,nnz,mem_footprint,mem_ratio,spmv_mae,spmv_max_ae,spmv_mse,spmv_mape,spmv_smape,spmv_lnQ_error,spmv_mlare,spmv_gmare,CSRCV_NUM_PACKET_VALS,matrix_mae,matrix_max_ae,matrix_mse,matrix_mape,matrix_smape,matrix_lnQ_error,matrix_mlare,matrix_gmare,unbalance_time,unbalance_size,row_bits_avg,col_bits_avg,row_col_bytes_avg,compression_time,compression_spmv_loops,tolerance

	ERROR
[tid 133388] spmv_kernel_csr_cv_stream_compression_kernels.h
 => compress_kernel_sort_diff(): line [404]
      >  empty packet
/home/users/dgal/Data/graphs/tamu/matrices/ASIC_680k/ASIC_680k.mtx,16,682862,682862,3871773,1.000023,13.434740,46.913841,0.000000,0.000000,CSR_CV_STREAM,682862,682862,3871773,14.975314,0.319209,1.26816e-14,8.41919e-09,1.03824e-22,1.46438e-08,1.40255e-08,1.96888e-12,-11.3436,4.53352e-12,16384,0,0,0,0,0,0,-inf,0,87.11,16.92,7.8552,23.8435,3.9623,0.0384,66.9519,0
/home/users/dgal/Data/graphs/tamu/matrices/radiation/radiation.mtx,16,223104,223104,7637688,1.000725,15.920674,88.257481,0.000000,0.000000,CSR_CV_STREAM,223104,223104,7637688,62.300074,0.705890,7.07614e-05,1.00001,2.73042e-05,1.07362,0.121745,-0.00916471,-1.68024,0.0208814,16384,0,0,0,0,0,0,-inf,0,9.87,24.11,8.0000,23.5737,3.9467,0.0697,72.9945,0
/home/users/dgal/Data/graphs/tamu/matrices/PR02R/PR02R.mtx,16,161070,161070,8185136,1.000164,15.336436,94.285885,0.000000,0.000000,CSR_CV_STREAM,161070,161070,8185136,77.128400,0.818027,8.96057e-09,2.67029e-05,5.74509e-14,5.25528e-09,2.62764e-09,-1.48371e-11,-10.4664,3.41636e-11,16384,0,0,0,0,0,0,-inf,0,2.11,0.68,7.9969,17.7767,3.2217,0.0786,74.3920,0
/home/users/dgal/Data/graphs/tamu/matrices/crankseg_2/crankseg_2.mtx,16,63838,63838,14148858,1.001491,16.896842,162.164356,0.000000,0.000000,CSR_CV_STREAM,63838,63838,14148858,112.258229,0.692250,5.77782e-09,3.8147e-05,2.29707e-14,6.61221e-13,3.30611e-13,-1.8353e-16,-15.3741,4.22568e-16,16384,0,0,0,0,0,0,-inf,0,2.72,3.79,8.0000,16.0000,3.0000,0.1367,81.9352,0
/home/users/dgal/Data/graphs/tamu/matrices/rajat31/rajat31.mtx,16,4690002,4690002,20316253,1.003570,9.838574,250.392006,0.000000,0.000000,CSR_CV_STREAM,4690002,4690002,20316253,83.356922,0.332906,8.52217e-16,1.5838e-15,1.11065e-30,1.68891e-11,8.44457e-12,-7.76162e-15,-13.7478,1.78718e-14,16384,0,0,0,0,0,0,-inf,0,2.04,0.42,7.9986,23.8770,3.9845,0.1029,24.9771,0
/home/users/dgal/Data/graphs/tamu/matrices/human_gene1/human_gene1.mtx,16,22283,22283,24669643,1.003202,14.852902,282.406666,0.000000,0.000000,CSR_CV_STREAM,22283,22283,24669643,208.381869,0.737879,4.97218e-14,1.81899e-12,1.74952e-26,5.53711e-14,2.76856e-14,2.86487e-18,-17.1796,6.61363e-18,16384,0,0,0,0,0,0,-inf,0,1.04,0.29,7.9637,15.9993,2.9954,0.2281,69.0653,0
/home/users/dgal/Data/graphs/tamu/matrices/dgreen/dgreen.mtx,16,1200611,1200611,38259877,1.004379,12.037407,442.429516,0.000000,0.000000,CSR_CV_STREAM,1200611,1200611,38259877,308.034868,0.696235,0.00190495,64,0.0157568,2.18237,0.0669384,-0.00590384,-1.8696,0.0135021,16384,0,0,0,0,0,0,-inf,0,9.51,28.25,7.9989,23.9994,3.9998,0.3206,50.4531,0
